X,Y,1StationTe,LocalEasti,LocalNorth,LocalHeigh,Descriptor,StationTex,WGS84Latit,WGS84Longi,Field9,Field10,Field11,Track,Feature,icon_url
146.419558514899,-7.96310040283099,GPS_5F-A,435910.489,9119571.028,282.683,GPS1,GPS_5F-A,-7.963,146.420,,,,5.000,,./0.png
146.419858765992,-7.96291860900773,GPS_5F-B,435943.553,9119591.173,280.394,GPS1,GPS_5F-B,-7.963,146.420,,,,5.000,,./0.png
146.558205559254,-7.94425097910102,GPS_5M-A,451189.193,9121673.829,65.641,GPS1,GPS_5M-A,-7.944,146.558,,,,5.000,,./0.png
146.558079676434,-7.9441091021315,GPS_5M-B,451175.302,9121689.499,64.938,GPS1,GPS_5M-B,-7.944,146.558,,,,5.000,,./0.png
146.573631208983,-7.94351683671094,GPS_5N-A,452889.300,9121756.773,57.689,GPS1,GPS_5N-A,-7.944,146.574,,,,5.000,,./0.png
146.573638242131,-7.94333388205715,GPS_5N-B,452890.055,9121777.000,58.556,GPS1,GPS_5N-B,-7.943,146.574,,,,5.000,,./0.png
146.58736670903,-7.93961928712036,GPS_5O-A,454402.776,9122189.200,399.493,GPS1,GPS_5O-A,-7.940,146.587,,,,5.000,,./0.png
146.587739427383,-7.93977558906637,GPS_5O-B,454443.874,9122171.961,403.363,GPS1,GPS_5O-B,-7.940,146.588,,,,5.000,,./0.png
146.598644999676,-7.93954955843082,GPS_5P-A,455645.854,9122198.128,218.671,GPS1,GPS_5P-A,-7.940,146.599,,,,5.000,,./0.png
146.598996045043,-7.93943210595582,GPS_5P-B,455684.533,9122211.151,212.144,GPS1,GPS_5P-B,-7.939,146.599,,,,5.000,,./0.png
146.614210808953,-7.93762143902631,GPS_5Q-A,457361.306,9122412.920,219.801,GPS1,GPS_5Q-A,-7.938,146.614,,,,5.000,,./0.png
146.614406191078,-7.93733229030611,GPS_5Q-B,457382.811,9122444.907,212.526,GPS1,GPS_5Q-B,-7.937,146.614,,,,5.000,,./0.png
146.626603217549,-7.9357263082156,GPS_5R-A,458727.002,9122623.685,220.748,GPS1,GPS_5R-A,-7.936,146.627,,,,5.000,,./0.png
146.626838810929,-7.93587681284345,GPS_5R-B,458752.984,9122607.070,222.955,GPS1,GPS_5R-B,-7.936,146.627,,,,5.000,,./0.png
146.32614397551,-8.08854544073485,GPS_6A-A,425637.424,9105686.166,5.598,GPS1,GPS_6A-A,-8.089,146.326,,,,6.000,,./0.png
146.325921662705,-8.088451085737,GPS_6A-B,425612.911,9105696.557,5.826,GPS1,GPS_6A-B,-8.088,146.326,,,,6.000,,./0.png
146.339190390602,-8.08463011225807,GPS_6B-A,427074.224,9106121.402,7.102,GPS1,GPS_6B-A,-8.085,146.339,,,,6.000,,./0.png
146.338969705464,-8.08447194106152,GPS_6B-B,427049.880,9106138.850,7.005,GPS1,GPS_6B-B,-8.084,146.339,,,,6.000,,./0.png
146.351382199153,-8.08083485259283,GPS_6C-A,428416.905,9106543.166,13.522,GPS1,GPS_6C-A,-8.081,146.351,,,,6.000,,./0.png
146.351357496287,-8.08062160369905,GPS_6C-B,428414.146,9106566.738,13.626,GPS1,GPS_6C-B,-8.081,146.351,,,,6.000,,./0.png
146.365809637572,-8.07663166233919,GPS_6D-B,430005.874,9107010.372,18.404,GPS1,GPS_6D-B,-8.077,146.366,,,,6.000,,./0.png
146.365584574845,-8.07663966252104,GPS_6D_A,429981.076,9107009.449,18.219,GPS1,GPS_6D_A,-8.077,146.366,,,,6.000,,./0.png
