X,Y,Type,Station,Line,Point,RecoverySP,DateDrille,DrillTeam,DateLoaded,Loader,DrilledDep,TopofCharg,GalvoTest1,GalvoTest2,Units1kg,DetsUsed10,TopAnch,EndCaps,Litologie,Comment1,Comment2,km,TypeofDril,icon_url
146.408890123755,-7.90519523469609,S,409806.500000000000000,"4",9806.500000000000000,,2022/09/14,"3",2022/09/14,James Steven,"7",6.000000000000000,7.400000000000000,7.400000000000000,"2","2","1","1",Hard Mudstone,,,0.090000000000000,Air,./0.png
146.408530677748,-7.90446431299562,S,409824.500000000000000,"4",9824.500000000000000,,2022/09/14,"3",2022/09/14,James Steven,"7",6.000000000000000,7.500000000000000,7.600000000000000,"2","2","1","1",Hard Mudstone,,,0.090000000000000,Air,./0.png
146.408171232921,-7.90373340009926,S,409842.500000000000000,"4",9842.500000000000000,409840.500000000000000,2022/09/14,"3",2022/09/14,James Steven,"7",6.000000000000000,7.600000000000000,7.500000000000000,"2","2","1","1",Hard Mudstone,Cliff,,0.090000000000000,Air,./0.png
146.407811789299,-7.90300247791704,S,409860.500000000000000,"4",9860.500000000000000,,2022/09/14,"3",2022/09/14,James Steven,"7",6.000000000000000,7.600000000000000,7.400000000000000,"2","2","1","1",Hard Mudstone,,,0.090000000000000,Air,./0.png
146.407452346869,-7.90227155549409,S,409878.500000000000000,"4",9878.500000000000000,,2022/09/14,"3",2022/09/14,James Steven,"7",6.000000000000000,7.600000000000000,7.500000000000000,"2","2","1","1",Hard Mudstone,,,0.090000000000000,Air,./0.png
146.407092905619,-7.90154064187548,S,409896.500000000000000,"4",9896.500000000000000,409894.500000000000000,2022/09/13,"3",2022/09/13,James Steven,"7",6.000000000000000,7.600000000000000,7.500000000000000,"2","2","1","1",Hard Mudstone,Dry Creek,,0.090000000000000,Air,./0.png
146.406733465574,-7.90080971897132,S,409914.500000000000000,"4",9914.500000000000000,,2022/09/13,"3",2022/09/13,James Steven,"7",6.000000000000000,7.500000000000000,7.500000000000000,"2","2","1","1",Hard Mudstone,,,0.090000000000000,Air,./0.png
146.406374026707,-7.90007880487169,S,409932.500000000000000,"4",9932.500000000000000,,2022/09/13,"3",2022/09/13,James Steven,"7",6.000000000000000,7.400000000000000,7.500000000000000,"2","2","1","1",Hard Mudstone,,,0.090000000000000,Air,./0.png
146.406014589045,-7.89934788148666,S,409950.500000000000000,"4",9950.500000000000000,409952.500000000000000,2022/09/13,"3",2022/09/13,James Steven,"7",6.000000000000000,7.500000000000000,7.300000000000000,"2","2","1","1",Hard Mudstone,Cliff,,0.090000000000000,Air,./0.png
146.405655152562,-7.89861696690635,S,409968.500000000000000,"4",9968.500000000000000,409973.500000000000000,2022/09/13,"3",2022/09/13,James Steven,"7",6.000000000000000,7.600000000000000,7.500000000000000,"2","2","1","1",Hard Mudstone,HP,,0.090000000000000,Air,./0.png
