X,Y,StationVal,LocalEasti,LocalNorth,LocalHeigh,Descriptor,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Feature,icon_url
445828.546867356,9096031.74216346,403404,445828.547,9096031.742,289.255,S,,,,,,,,,./0.png
445820.35035951,9096060.61954568,403410,445820.350,9096060.620,285.232,S,,,,,,,,,./0.png
445817.081461868,9096090.8375378,403416,445817.081,9096090.838,293.968,S,,,,,,,,,./0.png
445810.486732446,9096120.04628189,403422,445810.487,9096120.046,306.944,S,,,,,,,,,./0.png
445800.047458237,9096147.61168596,403428,445800.047,9096147.612,322.728,S,,,,,,,,,./0.png
445796.603628909,9096178.31491659,403434,445796.604,9096178.315,334.492,S,,,,,,,,,./0.png
445792.119881937,9096208.05585774,403440,445792.120,9096208.056,347.932,S,,,,,,,,,./0.png
445785.315434104,9096236.64014737,403446,445785.315,9096236.640,363.207,S,,,,,,,,,./0.png
445783.011727139,9096267.56457803,403452,445783.012,9096267.565,369.281,S,,,,,,,,,./0.png
445774.749144403,9096296.34473346,403458,445774.749,9096296.345,377.309,S,,,,,,,,,./0.png
445766.014587267,9096325.01244492,403464,445766.015,9096325.012,392.232,S,,,,,,,,,./0.png
445762.687722938,9096355.03054808,403470,445762.688,9096355.031,397.156,S,,,,,,,,,./0.png
445754.531296155,9096383.92828976,403476,445754.531,9096383.928,400.828,S,,,,,,,,,./0.png
445759.735900212,9096415.74188105,403482,445759.736,9096415.742,401.864,S,,,,,,,,,./0.png
445742.007152482,9096442.97330529,403488,445742.007,9096442.973,395.581,S,,,,,,,,,./0.png
445740.19123365,9096473.12792676,403494,445740.191,9096473.128,383.132,S,,,,,,,,,./0.png
445736.796629672,9096502.76698785,403500,445736.797,9096502.767,374.746,S,,,,,,,,,./0.png
445731.898862857,9096532.34420947,403506,445731.899,9096532.344,376.605,S,,,,,,,,,./0.png
445725.087626713,9096561.88746643,403512,445725.088,9096561.887,380.601,S,,,,,,,,,./0.png
445722.765305843,9096591.72821718,403518,445722.765,9096591.728,383.435,S,,,,,,,,,./0.png
445719.442968124,9096621.93094673,403524,445719.443,9096621.931,382.611,S,,,,,,,,,./0.png
